"Story","Title","Result","Date","Stability","Duration (s)"
"User tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","FAILURE","2023-06-06T23:05:56.747+01:00[Europe/London]","0.0","4.89"
"User tags test","This test will verify if a status code of 200 is returned for GET request","FAILURE","2023-06-06T23:06:01.681+01:00[Europe/London]","0.0","0.81"
"User tags test","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-06-06T23:06:02.502+01:00[Europe/London]","0.0","0.66"
